人民币	人民币 ￥
一个	一个 ☝️
第一	第一 ☝️
中指	中指 🖕
竖中指	竖中指 🖕
反手食指向上指	反手食指向上指 👆
向上指	向上指 👆
向上	向上 👆
往上	往上 👆
上面	上面 👆
上边	上边 👆
反手食指向下指	反手食指向下指 👇
向下指	向下指 👇
向下	向下 👇
往下	往下 👇
下面	下面 👇
下边	下边 👇
反手食指向左指	反手食指向左指 👈
向左指	向左指 👈
向左	向左 👈
往左	往左 👈
左面	左面 👈
左边	左边 👈
反手食指向右指	反手食指向右指 👉
向右指	向右指 👉
向右	向右 👉
往右	往右 👉
右面	右面 👉
右边	右边 👉
食指指向观察者	食指指向观察者 🫵
指向观察者的食指	指向观察者的食指 🫵
你	你 🫵
你自己	你自己 🫵
就是你	就是你 🫵
指着	指着 🫵
指着你	指着你 🫵
举起拳头	举起拳头 ✊
举起的拳头	举起的拳头 ✊
握拳	握拳 ✊
握紧的拳头	握紧的拳头 👊
拳头	拳头 👊
出拳	出拳 👊
打击	打击 👊
重拳出击	重拳出击 👊
拇指	拇指 👍 👎
大拇指	大拇指 👍 👎
大拇指向上	大拇指向上 👍
拇指向上	拇指向上 👍 👎
大拇指朝上	大拇指朝上 👍
拇指朝上	拇指朝上 👍
强	强 👍
棒	棒 👍
真棒	真棒 👍
很棒	很棒 👍
棒棒	棒棒 👍
棒棒的	棒棒的 👍
棒棒哒	棒棒哒 👍
太棒	太棒 👍
太棒了	太棒了 👍
太棒啦	太棒啦 👍
干得好	干得好 👍
很好	很好 👍
不错	不错 👍
表扬	表扬 👍
牛逼	牛逼 👍
厉害	厉害 👍
点赞	点赞 👍
特棒	特棒 👍
哦耶	哦耶 👍
大拇指向下	大拇指向下 👎
大拇指朝下	大拇指朝下 👎
拇指朝下	拇指朝下 👎
不好	不好 👎
不强	不强 👎
不棒	不棒 👎
垃圾	垃圾 👎
太差	太差 👎
太差了	太差了 👎
差劲	差劲 👎
右向拳	右向拳 🤜
朝右的拳头	朝右的拳头 🤜
左钩拳	左钩拳 🤜
左拳	左拳 🤜
左向拳	左向拳 🤛
朝左的拳头	朝左的拳头 🤛
右钩拳	右钩拳 🤛
右拳	右拳 🤛
